Headline	Body	Author	Date	Climate	Music	TV and Film	Health	Fashion	Food	Travel	Crime	Foreign Affairs	Government and Policy	Sports	Finance	Science and Technology	Gaming	Religion	Local Stories	Business	Education	Environment (Non Climate)	Human Interest
Vegan Pie shockingly contains pie	"A local café in East London has recently caused outrage after advertising their new '100% Vegan Pie,' which, after much hype, turned out to contain actual pie. The scandal erupted when a disgruntled customer, after biting into the crust, discovered it was filled with... well, meat. The café has since issued a public apology, blaming the mistake on a 'mix-up in the kitchen,' though many are sceptical of this excuse. 'It’s not vegan if it’s got lamb in it,' said one furious customer. 'What next, a dairy-free ice cream that’s just milk?' The incident has sparked heated debates on social media, with many accusing the café of cultural appropriation in the form of 'pie-washing' — the practice of calling something vegan when it clearly isn't."	Felicity Tofu	14-May	4	1	0	4	3	10	2	3	3	0	1	2	5	6	2	5	2	3	0	4
Scientists Reveal That We’ve Been Reading the Weather Map All Wrong – The Sun Is Actually a Giant Hotdog	"In a stunning revelation, scientists from the University of Kent have announced that everything we thought we knew about the sun is wrong. In a groundbreaking study, the researchers claim that the sun is not a burning ball of gas, as previously thought, but rather a giant hotdog suspended in space. 'We’ve always assumed the sun was a star, but after conducting numerous experiments, we’ve found the truth,' explained lead scientist Dr. Gary Frankfurter. 'It’s a giant hotdog. Just look at the shape of it!' While some experts have expressed doubts about the findings, the implications are enormous. “If this is true, it could completely change the way we think about space travel and food production,” said one researcher, while another added, “And it’s probably the most exciting thing to happen to science since they invented the potato."	Hugo Rollin	23-Feb	10	1	7	1	2	1	4	1	0	0	0	4	10	3	4	4	3	0	2	2
"Climate Change Denier Starts New Campaign: ‘The World Is Too Cold, Let’s Warm It Up!’"	"In a bizarre twist, a well-known climate change skeptic has launched a new campaign claiming that the world isn’t warming up enough and we should “bring back the heat.” His argument? “The winters are getting colder, and people don’t seem to care about it,” he declared in a recent press conference. Experts quickly dismissed the campaign, calling it “misguided,” while others sarcastically joked that perhaps the campaign could be sponsored by a heating company. "	John Stewart	26-Jan	10	1	0	6	3	3	1	1	2	6	6	4	3	0	4	0	0	5	0	4
"Music Producer Promises ‘The Most Average Album of All Time,’ Fans Say It’s ‘Groundbreaking’"	"In an unexpected announcement, an up-and-coming music producer has promised to release “the most average album of all time.” “It’s not bad, it’s not great, it’s just... average,” he explained. Fans are baffled, some claiming it’s a bold new statement on the monotony of modern music, while others are simply confused. ""This is the most groundbreaking thing I’ve ever heard,"" one fan said. ""It’s like he’s created a new genre called ‘meh.’"" "	Mark Willis	27-Jan	1	10	2	1	2	0	2	5	4	3	4	0	3	6	4	6	4	3	4	2
TV Hosts Declare They Will Only Interview People Who’ve Never Seen a TV Show Before	"A new trend among TV hosts has emerged, with several stars declaring that they will only interview people who have never watched a TV show in their lives. “We want to know what it’s like to be free of all media influence,” said presenter Kate Morgan. Some have praised the move as a bold step toward deconstructing the power of television, while others argue it’s just an elitist gimmick. “What’s the point of having an interview if they don’t know what’s going on in the world?” asked one critic. "	Zara Davies	28-Jan	5	0	10	3	0	2	1	5	0	0	0	5	3	3	4	1	2	1	3	2
Fashion Designer Releases Line of ‘Indoor Shoes’ for People Who ‘Never Leave the House’	"In the latest trend to take the fashion world by storm, designer Abigail Hayes has unveiled a collection of “indoor shoes,” designed specifically for people who never leave their homes. ""These shoes are perfect for people who want to lounge in style,"" said Hayes, explaining that the shoes feature fuzzy slippers and plush fabric, but no support for outdoor wear. “Who needs to go outside when you can look fabulous at home?” "	Sarah Williams	29-Jan	4	4	5	10	2	1	0	1	4	4	3	1	4	4	3	0	1	1	4	4
Food Blogger’s Latest Recipe Is Just a Can of Soup with the Label Peeling Off	"A food blogger’s new recipe has caused a stir, as she shared a step-by-step guide on how to “make a gourmet meal” using nothing but a can of soup with the label partially peeled off. ""It’s the perfect way to elevate your dinner,"" she claimed. Critics are calling it a lazy stunt, while fans argue that it’s a brilliant commentary on the pressure to always “perform” in the kitchen. “Sometimes simple is best,” said one commenter. "	Emma Johnson	30-Jan	1	7	0	4	0	10	4	0	3	7	0	3	6	3	4	7	2	2	7	2
"Travel Blogger Visits ‘The Most Beautiful Place on Earth,’ Only to Discover It’s a Parking Lot"	"A travel blogger’s latest post about the most beautiful location he’s ever visited has been met with confusion, as the location in question is a dull, concrete parking lot. ""It was like a hidden gem,"" said the blogger, who has now made it his mission to showcase more overlooked locations. While some readers are impressed with his creativity, others are wondering if he’s lost touch with reality. ""Maybe next time he’ll call a gas station a ‘secret oasis,’"" one commenter joked. "	George Anderson	31-Jan	3	0	3	2	4	3	3	0	2	3	2	2	0	0	1	1	4	2	4	0
"Gaming Community Goes Crazy for ‘World’s First Non-Interactive Game,’ Which Is Just a Black Screen"	"In a surprising turn of events, a new game has been released with the premise that it’s “the world’s first non-interactive game.” The game simply shows a black screen for hours on end. Gamers, who were expecting a deep narrative or action-packed gameplay, are divided. “I’ve never been so immersed in nothing,” one player said. “It’s an art form, really.” Critics, however, are calling it a “complete waste of time.” "	Olivia Brown	01-Feb	3	1	0	0	0	7	10	5	2	1	3	3	0	4	4	2	3	1	2	2
Religion’s Newest Trend: Belief in ‘Interdimensional Beings’ Replaces Traditional Gods	"A new religious movement has gained traction, with its followers claiming that traditional gods have been replaced by “interdimensional beings” from parallel universes. “We are all part of a multiverse,” said the movement’s leader, a charismatic figure named Felix Crane. Critics say the idea is too outlandish to take seriously, while followers argue that it’s the only logical explanation for the mysteries of life. ""It just makes sense,"" said one believer. "	Fiona Roberts	02-Feb	1	6	1	1	4	6	0	10	2	1	4	3	5	1	3	3	7	4	0	4
Education Department Implements New Policy: Students Must Pass ‘Emotional Intelligence Test’ Before Graduation	"The UK education department has introduced a new policy requiring all students to pass an emotional intelligence test before graduating. “It’s important that students are prepared for the real world,” said Education Secretary Eleanor Smith. Critics argue that it’s an unnecessary barrier to graduation, while supporters claim it will help produce more well-rounded individuals. “Emotional intelligence is just as important as book smarts,” one supporter said. "	Timothy White	03-Feb	1	4	4	0	4	3	3	4	4	10	1	6	3	4	2	5	1	1	5	4
Local Pub Declares It Will Only Serve ‘Hand-Crafted’ Water from Local Springs	"A local pub has announced that it will only serve “hand-crafted” water from nearby springs, claiming that it’s the purest form of hydration. ""We’ve been brewing it for years,"" said the pub owner, who insists that the water is far superior to tap water or even bottled water. Locals are divided on the decision, with some calling it a gimmick, while others say it’s a great way to support local businesses. “I love the idea,” said one regular. "	Oliver Harris	04-Feb	4	2	5	4	3	4	7	3	3	3	4	2	3	0	3	0	4	0	2	3
New TV Show Follows Couple Who Renovate Homes Using Only Duct Tape	"The hit show 'Tape Dreams' chronicles the highs and lows of using duct tape for everything from plumbing to parenting. DIY enthusiasts are thrilled, while safety inspectors are less so. Critics call it a ""sticky situation"" and a ""reel disaster,"" but fans say it's unmissable."	Taylor Singh	11-Sep	7	1	10	6	6	2	3	4	3	3	3	7	3	4	1	3	6	2	1	5
Foreign Leader Forgets Nation’s Name During UN Speech	"In an unprecedented moment of international confusion, President Viktor Blundstein paused mid-speech and muttered, ""Wait, which country am I again?"" The audience offered polite laughter while aides scrambled to update his teleprompter. Some say it was a metaphor for global detachment. Others say it was Tuesday."	Alex Dlamini	12-Apr	1	5	6	4	1	0	1	0	7	0	3	3	0	2	7	2	0	2	6	4
Rising Sea Levels Threaten Popular Theme Park's Pirate Ship Ride	Guests at AquaQuest Park report growing realism in the sinking pirate ship attraction—mainly because it's actually sinking. Park officials claim it's all part of the experience. Environmentalists suggest otherwise.	Nadia Chowdhury	02-Jun	10	2	6	3	4	2	5	3	2	4	4	5	4	4	2	4	5	2	0	3
Health Minister Declares Sugar-Free Donuts “Technically a Vegetable”	"Citing a loophole in the Dietary Act of 1993, Minister Georgina Smalls announced sugar-free jelly donuts may now qualify as vegetables in schools. Nutritionists are horrified. Children rejoice."	Bobby Oluwaseun	28-Feb	1	0	2	0	0	1	2	0	1	1	2	3	0	5	2	4	1	1	3	3
AI-Powered Fridge Refuses to Open for Midnight Snacks	Tech company HomeSmart says its new fridge helps with diet goals. Users say it’s a passive-aggressive appliance with control issues. Some have resorted to bribing it with compliments.	João Mendes	03-Jan	7	1	0	2	0	4	4	0	2	4	2	4	0	4	7	1	0	1	0	1
Pop Star Releases Album Entirely in Morse Code	"Rising artist Bella Beep’s new record “... --- ...” is either genius or gibberish, depending on whom you ask. Critics are split. Fans are tapping along. Spotify streams spiked after a Navy veteran endorsed it."	Kayla Tagore	17-Aug	5	2	4	4	1	0	0	3	4	7	0	3	5	3	2	6	2	2	2	1
Oxford University to Offer Degree in Influencing	The new BA (Influence Studies) will include modules like “Selfie Theory” and “Advanced Hashtagging.” Critics are calling it a sign of the apocalypse. Students are queuing up regardless.	Ruairí Farooq	09-Oct	0	6	3	5	0	1	2	3	0	1	1	0	1	4	0	2	0	6	7	4
Giant Pigeon Sculpture Causes Traffic Delays in Bristol	"Dubbed “The Cluckening,” the 12-metre tall pigeon was meant to celebrate urban wildlife. Locals are less impressed, citing roadblocks and aggressive seagull activity as consequences."	Dev Patel	04-Mar	4	6	0	5	1	3	1	6	3	2	0	2	0	1	2	3	4	10	4	4
Economy Accidentally Boosted by National Nap Day	"A clerical error turned a wellness initiative into a public holiday. Surprisingly, the GDP spiked. Economists are now re-evaluating the power of collective rest—and coffee sales."	Anita MacLeod	15-May	2	0	4	0	4	0	2	6	4	1	0	5	0	1	0	0	2	1	1	6
Church of the Future Installs Holographic Priest	Worshippers at St. Pixel’s say sermons are now glitch-free and 23% shorter. The clergy union has filed a formal complaint with God’s HR department.	Omar al-Mousawi	06-Dec	3	7	0	6	6	0	0	5	3	3	4	2	4	3	1	3	3	3	2	1
Prime Minister Blames Rising Rents on “Too Many Clouds”	"In a bold pivot from economics, PM Keith Stanton suggested high cloud density is blocking prosperity. Meteorologists have denied the accusation. Renters remain unconvinced."	Lucy Jin-Wong	10-Nov	6	4	5	3	3	0	3	2	0	1	4	6	2	3	2	2	7	7	0	4
University Replaces Lectures with Interpretive Dance	"To promote creative learning, North Midlands Polytechnic introduced syllabus-inspired choreography. Students say exams now involve twirling. Professors just look confused."	Francesco Okoye	25-Jan	1	4	4	0	1	4	0	7	3	1	4	4	2	6	4	4	2	3	4	3
Criminal Escapes Using Disguise as Giant Pumpkin	Security footage shows a man rolling out of prison dressed as produce. Police say he’s now “seedy and armed.” Halloween just got interesting.	Cathy Dubois	30-Oct	6	5	0	0	1	0	1	0	3	4	1	4	3	4	3	5	2	2	0	0
Man Sues Biscuit Company for “Emotional Crumbs”	Gary Stilton claims the chocolate chip distribution in his cookies caused heartbreak. A class-action lawsuit is forming. BiscuitGate 2025 is upon us.	Maya Pranav	07-Jul	2	4	1	0	2	10	2	1	2	2	3	2	4	2	7	4	4	4	3	0
Government Announces Plan to Replace Trains with Tumbleweeds	"Citing cost savings and natural beauty, the Transport Minister proposed nature-powered commuting. Critics point out tumbleweeds don’t stop at stations. Or move intentionally."	Ahmed Bisset	01-May	0	2	5	1	0	6	0	0	2	6	4	3	4	1	3	4	4	1	7	1
Travel Influencer Lost for 48 Hours in Ikea	She thought she was exploring Sweden. Turns out she never left Croydon. Her followers are now divided between worry and furniture envy.	Mina Sánchez	14-Jun	0	3	2	0	3	3	2	2	7	1	6	2	3	1	4	5	4	0	6	3
Gaming CEO Resigns After Losing to 10-Year-Old on Livestream	"CEO of PowerPlay Studios rage-quit mid-match, then rage-resigned. The child in question was later offered the job. The board is currently evaluating him for maturity and snacks."	Irfan Cheung	02-Apr	2	5	3	1	3	2	3	1	2	0	2	4	4	10	1	3	1	3	2	4
Fashion Week Interrupted by Rampaging Goats in Tulle	"A nearby petting zoo’s gate malfunctioned, resulting in goat-led couture chaos. One designer said it added “textural depth and authentic barncore.” Vogue agrees."	Sophie Patel	18-Sep	3	4	4	4	10	1	2	3	3	4	4	0	2	5	2	4	1	6	2	3
Cat Named Chancellor Mistakenly Approves New Tax Laws	Digitally signed documents sent from a minister’s unlocked laptop were actually paw-prints. Legal experts say it’s binding unless overturned by another feline.	Toby Hammond	13-Mar	4	0	4	3	1	2	2	3	2	3	3	0	1	3	7	1	2	0	7	1
Bank Launches ‘Mood-Based’ Loans Using Horoscope Data	Scorpio? You get 12% interest. Pisces? Denied for being “too emotional.” Financial astrology has arrived. Regulators are frowning and lighting candles just in case.	Poonam Lee	22-Aug	5	1	4	4	5	1	3	3	0	5	4	2	3	1	3	3	2	0	4	6
Education Ministry Introduces Mandatory TikTok Curriculum	The public has expressed a mix of confusion and delight after during what was supposed to be a quiet Wednesday. Experts are baffled but mildly amused.	Mei Chen	12-Sep	1	0	3	7	0	10	0	5	1	3	2	7	5	2	3	3	3	10	0	1
Scientists Discover Planet Made Entirely of Left Socks	"In a stunning twist, authorities have confirmed during what was supposed to be a quiet Wednesday. Analysts are still trying to make sense of the implications."	Samira Ivanova	08-Apr	1	2	10	10	4	4	1	3	1	10	4	0	0	3	2	1	4	0	0	4
Pigeons Trained to Deliver Amazon Packages in Central London	Economic analysts suggest this may influence without anyone actually noticing until Friday. Social media erupted with memes within minutes.	Fatima Müller	23-Feb	3	3	0	0	6	2	3	6	2	1	3	2	10	3	1	6	4	2	1	4
Public Transport Now Accepts High Fives as Payment	"In a stunning twist, authorities have confirmed despite repeated warnings from a local parrot sanctuary. Meanwhile, opposition leaders are calling for calm."	Jonas Ivanova	26-Apr	7	4	2	2	5	3	10	2	10	4	4	1	4	1	7	2	3	2	10	4
Fashion Week Runway Flooded After Eco Protest Turns into Pool Party	"Eyewitnesses reported that the event unfolded during what was supposed to be a quiet Wednesday. Meanwhile, opposition leaders are calling for calm."	Kwame Müller	21-Feb	7	2	10	2	0	3	0	4	1	1	5	10	2	1	1	3	6	0	3	1
Pigeons Trained to Deliver Amazon Packages in Central London	Economic analysts suggest this may influence during what was supposed to be a quiet Wednesday. Analysts are still trying to make sense of the implications.	Samira Ndiaye	28-Oct	0	3	4	4	1	0	0	4	2	0	7	2	5	2	4	3	0	4	0	10
New Law Requires MPs to Wear Sponsor Logos Like F1 Drivers	"In a stunning twist, authorities have confirmed while commuters simply stepped over the incident. Meanwhile, opposition leaders are calling for calm."	Elena Ndiaye	20-Jan	4	4	1	2	2	1	4	5	4	2	7	2	5	0	10	0	1	4	10	4
Royal Family Accidentally Books Budget Hotel for Gala	"In a stunning twist, authorities have confirmed without anyone actually noticing until Friday. Meanwhile, opposition leaders are calling for calm."	Kwame Fernandez	12-Mar	4	4	2	1	2	7	2	6	2	3	4	0	1	0	5	4	5	3	1	2
Fashion Week Runway Flooded After Eco Protest Turns into Pool Party	"The public has expressed a mix of confusion and delight after while commuters simply stepped over the incident. Meanwhile, opposition leaders are calling for calm."	Elena Garcia	08-Mar	3	2	10	0	7	2	3	1	2	0	0	4	3	0	4	2	0	1	1	4
Underground Jazz Festival Held in Abandoned Nuclear Bunker	Cultural commentators are calling it the most surreal while commuters simply stepped over the incident. Social media erupted with memes within minutes.	Jonas Garcia	19-Sep	2	6	7	1	6	3	1	1	4	1	0	6	7	4	6	0	0	4	2	3
